사업장명,전화번호,도로명주소
뉴욕동물병원,27627582.0,"서울특별시 종로구 창경궁로35길 19, 2층 (혜화동)"
대학로동물병원,36728441.0,서울특별시 종로구 창경궁로 261 (명륜2가)
월드펫동물병원,,"서울특별시 종로구 평창문화로 75, 글로리아타운 111호 (평창동)"
해동물병원,27449098.0,서울특별시 종로구 지봉로 53-1 (창신동)
북악동물병원,,서울특별시 종로구 자하문로 293 (홍지동)
올리브동물병원,,서울특별시 종로구 자하문로 305 (홍지동)
우리동물병원,36761190.0,서울특별시 종로구 지봉로 96-3 (숭인동)
누리봄동물병원,27357530.0,서울특별시 종로구 사직로12길 2 (내자동)
광화문동물병원,,"서울특별시 종로구 자하문로 35-3, 씨에스코즈빌 101호 (통인동)"
경희궁 바른 동물병원,,"서울특별시 종로구 송월길 99, 상가동 2층 2229호 (홍파동, 경희궁자이 2단지)"
선동물병원,27336030.0,"서울특별시 종로구 자하문로 95, 신교빌딩 1층 (신교동)"
폴라동물병원,,"서울특별시 종로구 낙산길 311, 지1층 (숭인동)"
힐스타운 동물병원,222377582.0,"서울특별시 중구 다산로 32, 스포츠상가동 106-2호 (신당동, 남산타운)"
윤신근박사동물병원,22748558.0,서울특별시 중구 퇴계로 226 (필동2가)
바우미우동물병원,22373366.0,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)"
황동물병원,22780075.0,서울특별시 중구 퇴계로 254-1 (묵정동)
대한동물병원,22636134.0,서울특별시 중구 퇴계로 227 (충무로4가)
남산동물병원,22568275.0,"서울특별시 중구 다산로 32, 5상가동 217호 (신당동, 남산타운)"
미래지동물의료센터,22337574.0,"서울특별시 중구 다산로 107, 2층 (신당동)"
백슬동물병원,23937588.0,"서울특별시 중구 만리재로 175, 지하1층 401-1호 (만리동2가, 서울역센트럴자이)"
신당 좋아요 동물병원,222336675.0,"서울특별시 중구 다산로36길 83, 1층 (신당동)"
바른동물병원,222327975.0,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)"
애니컴 메디컬센터,222329702.0,"서울특별시 중구 다산로 83-1, 3층 (신당동)"
메종동물병원,220387555.0,"서울특별시 중구 다산로 230, 하나빌딩 1층 (신당동)"
웰니스클리닉(청계천점),222347585.0,"서울특별시 중구 청계천로 400, 지하 1층 (황학동, 롯데캐슬베네치아)"
헬릭스동물심장수술센터,269657502.0,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 2층 (을지로5가)"
헬릭스동물암센터,269567502.0,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)"
서울동물영상종양센터,269567502.0,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)"
웰튼동물의료센터,222532233.0,"서울특별시 중구 난계로 197, 1,2,4층 (황학동)"
"에스디(SD)동물영상센터,서울",,"서울특별시 중구 왕십리로 407, B1-1호 (신당동, 신당 파인힐 하나유보라)"
"에스디(SD)동물의료센터,서울",220390303.0,"서울특별시 중구 왕십리로 407, 신당 파인힐 하나유보라 B1층 03,04,05호 (신당동, 신당 파인힐 하나유보라)"
바다동물병원(Bada Animal Hospital),27922561.0,"서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)"
24시 시유동물메디컬센터,27930075.0,"서울특별시 용산구 이촌로64길 24, 지상1층 101호 (이촌동)"
베이동물병원,27497588.0,"서울특별시 용산구 이촌로 248, 11동 102호 (이촌동, 한강맨션)"
더힐동물의료센터,27928275.0,"서울특별시 용산구 독서당로 81-1, 아이리스프라자 지상3층 (한남동)"
원스동물병원,27198275.0,"서울특별시 용산구 청파로47길 16, 지상1층 (청파동2가)"
이상윤동물병원,27925455.0,"서울특별시 용산구 이촌로 248, 31동 105-2호 (이촌동, 한강맨션)"
에스동물병원,,"서울특별시 용산구 서빙고로 17, 헤링턴스퀘어 센트럴파크 몰동 1146, 1147호 (한강로3가)"
위런한방재활동물병원,221383877.0,"서울특별시 용산구 한강대로 95, 225호 (한강로2가, 래미안용산 더 센트럴)"
한남심장내과동물병원,260854777.0,"서울특별시 용산구 독서당로 46, 111호 (한남동, 한남아이파크)"
용산마음동물병원,27117580.0,"서울특별시 용산구 백범로 340, 2층 (원효로2가)"
남산동물병원,,"서울특별시 용산구 후암로 51, 지상1층 (후암동)"
효창동물병원,,서울특별시 용산구 백범로 293 (효창동)
열린동물종합병원,32730075.0,"서울특별시 용산구 원효로 171, 신영빌딩 (원효로2가)"
원효종합동물병원,,서울특별시 용산구 새창로 122-2(용문동)
한사랑동물병원,,서울특별시 용산구 신흥로 36-1 (용산동2가)
청화종합동물병원,,"서울특별시 용산구 보광로 90, 태광빌딩 1층 (이태원동)"
펫토이동물병원,,서울특별시 용산구 대사관로 32 (한남동)
금강동물병원,,"서울특별시 용산구 이촌로 300, 렉스상가 8-1,8-2호 (이촌동)"
라온동물병원,,서울특별시 용산구 회나무로13길 6 (이태원동)
아프리카동물병원,,서울특별시 용산구 후암로 32 (후암동)
엉클장동물병원,,"서울특별시 용산구 백범로 341, A동 지상1층 106호 (원효로1가, 리첸시아 용산)"
펫동물병원,32750079.0,"서울특별시 용산구 백범로 285, 지상1층 (효창동)"
차오름동물병원,,서울특별시 용산구 효창원로 14 (산천동)
달래동물의료센터,,"서울특별시 용산구 한남대로 76, 한남프라자 2층 (한남동)"
민트동물병원,,"서울특별시 용산구 원효로 51, 119호 (산천동, 삼성테마트)"
이태원동물병원,,"서울특별시 용산구 녹사평대로 210, 지하1, 1, 2층층 일부호 (이태원동)"
퍼스동물병원,27907508.0,"서울특별시 용산구 신흥로 54, 106호 (용산동2가, 북동연립)"
좋아서하는 동물병원,27030075.0,"서울특별시 용산구 백범로 341, B동 지상1층 113,114호 (원효로1가, 리첸시아 용산)"
24시센트럴동물메디컬센터,233957975.0,서울특별시 성동구 고산자로 207 (행당동)
이윤세동물병원,222827503.0,"서울특별시 성동구 행당로 76, 한진노변상가 1,2층 108호109호203호 (행당동)"
한양동물메디컬센터,222815200.0,서울특별시 성동구 왕십리로 282 (행당동)
옥수수 동물병원,222917582.0,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)"
도담동물병원(출장진료전문 동물병원),,"서울특별시 성동구 독서당로59길 84, 신동아아파트상가동 1층 111호 (행당동)"
라임동물병원,222818122.0,서울특별시 성동구 무학로 16 (홍익동)
바른동물병원,222977570.0,"서울특별시 성동구 독서당로 270, 상가동 2층 206호 (금호동4가, 금호동 대우아파트)"
기린동물병원,222918275.0,서울특별시 성동구 마장로 296 (마장동)
왕십리조은동물병원,222970075.0,서울특별시 성동구 왕십리로 381 (하왕십리동)
오석헌동물병원,264020301.0,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)"
제인동물병원,24687582.0,서울특별시 성동구 뚝섬로 395 (성수동2가)
금호동물병원,222810049.0,"서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)"
포레동물병원,24687975.0,"서울특별시 성동구 상원길 59, 쌍용아파트상가B동 107호 (성수동1가)"
스테이동물병원,222827501.0,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)"
바라봄동물병원,222979300.0,"서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)"
달링동물병원,24668215.0,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)"
베이지동물병원,222959888.0,"서울특별시 성동구 왕십리로 410, D동 106호 (하왕십리동, 센트라스)"
오늘동물병원,24697975.0,"서울특별시 성동구 왕십리로 104, 영화빌딩 2층 (성수동1가)"
조형선외과동물병원,222820119.0,"서울특별시 성동구 금호로 146, 제1, 2층 (금호동1가)"
BK심장동물병원,27909808.0,"서울특별시 성동구 고산자로6길 40, 행당동 레몬프라자 1층 113호 (행당동)"
성수 숲속 피부과 동물병원,222052975.0,"서울특별시 성동구 서울숲2길 32-14, 지하1층 B114호 (성수동1가, 갤러리아 포레)"
왕십리동물병원,221381888.0,"서울특별시 성동구 무학로6길 50, 101동 225호 (도선동, 성동삼성쉐르빌)"
평생피부과동물병원,233950075.0,"서울특별시 성동구 행당로 76, 110호 (행당동, 한진노변상가)"
오렌지동물병원,222977582.0,서울특별시 성동구 행당로8길 41-2 (행당동)
한빛동물병원,222331848.0,서울특별시 성동구 금호산길 58(금호동2가)
아지동물병원,260857750.0,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)"
다온동물병원,,서울특별시 광진구 면목로 142 (중곡동)
자양동물병원,,서울특별시 광진구 뚝섬로52길 4 (자양동)
드림펫 동물병원,,"서울특별시 광진구 능동로 407, 2층 (중곡동)"
서울동물병원,20388253.0,"서울특별시 광진구 천호대로 623-1, 1층 (중곡동)"
로얄 도그앤캣 메디컬센터,,"서울특별시 광진구 능동로 49 (자양동, 영지빌딩)"
파라곤동물병원,24987588.0,"서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)"
쿨펫동물병원,220241253.0,"서울특별시 광진구 아차산로 272 (자양동, 이마트 자양점)"
연두동물병원,24550975.0,서울특별시 광진구 광나루로 524 (구의동)
광진24시필동물병원,24468175.0,"서울특별시 광진구 광나루로56길 66, 201, 202호 (구의동)"
스마트동물병원군자점,24647582.0,서울특별시 광진구 능동로43길 3-5 (중곡동)
아이본 동물병원,24555975.0,"서울특별시 광진구 자양로 65, 화성빌딩 1층 (자양동)"
우주동물병원,220399930.0,"서울특별시 광진구 자양로15길 30, 1층 (자양동)"
다봄 동물병원,24567775.0,"서울특별시 광진구 자양로 163, 우남빌딩 (구의동)"
아크로벳 내과동물병원,220887119.0,"서울특별시 광진구 광나루로 582, 세종빌딩 1층 (구의동)"
비비동물병원,220397770.0,"서울특별시 광진구 능동로 21, 1층 (자양동)"
서울대학교동물검진센터,269305747.0,"서울특별시 광진구 구의강변로 46, 금성빌딩 1,2층 (구의동)"
Severance AMC,,"서울특별시 광진구 천호대로 512, 군자빌딩 b층 02호 (군자동)"
프라임동물병원,,서울특별시 광진구 아차산로 451 (구의동)
동서울동물병원,,서울특별시 광진구 아차산로 493 (광장동)
피카소동물병원,,서울특별시 광진구 광나루로 392-1 (화양동)
용마동물병원,,서울특별시 광진구 용마산로 66 (중곡동)
중곡동물병원,,서울특별시 광진구 긴고랑로 47 (중곡동)
방주종합동물병원,,서울특별시 광진구 능동로 334 (중곡동)
광진동물의료센터,,서울특별시 광진구 광나루로 507 (구의동)
건국대학교 부속 동물병원,,서울특별시 광진구 능동로 120 (화양동)
쥬라기동물병원,,서울특별시 광진구 광나루로 601 (광장동)
이다종합동물병원,,서울특별시 광진구 뚝섬로 504 (자양동)
나래동물병원,,서울특별시 광진구 능동로 283 (군자동)
보람동물병원,,서울특별시 광진구 군자로 84 (군자동)
애플동물병원,,서울특별시 광진구 천호대로 642-1 (능동)
로엘동물병원,,서울특별시 광진구 뚝섬로 622-1 (자양동)
해맑은동물병원,269547582.0,서울특별시 광진구 뚝섬로 670 (자양동)
노룬산동물병원,,서울특별시 광진구 뚝섬로 462 (자양동)
준동물병원,,서울특별시 광진구 뚝섬로 541 (자양동)
서울어린이대공원동물병원,,서울특별시 광진구 능동로 216 (능동)
나루동물병원,,서울특별시 광진구 아차산로 537-17 (광장동)
심재웅동물병원,222447755.0,서울특별시 동대문구 망우로 120 (휘경동)
박철환동물병원,222447479.0,서울특별시 동대문구 사가정로 221 (장안동)
